"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"4590973727","312935","10810","30 Mar 2019 11:12","42:47","2567","39-25","39,25","Radiant","KEEN GAMING","old eLeVeN, old chicken, kaka, --, dark","Royal Never Give Up","old LaNm, ah fu , Setsu, Monet, Srf"
"4590973188","312949","10810","30 Mar 2019 11:11","26:59","1619","29-18","29,18","Radiant","Fnatic","iceiceice, Jabz, MP, DJ, Abed","Neon Esports","Marc, MetaCL.SKADI, rApy-, `JL ♪ |-/, Mskiinfnty.PH2n"
"4590940014","312969","10810","30 Mar 2019 11:01","35:02","2102","26-23","26,23","Radiant","Newbee","Newbee.SanSheng, Moogy, Waixi, Sccc,","EHOME","Ferrari_430, y`Maxine, END, XinQ, fattiger"
"4590932163","312967","10810","30 Mar 2019 11:00","19:31","1171","17-10","17,10","Radiant","Team Empire","Maden, sayuw, KingR, kostya, dream`","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"4590912408","312948","10810","30 Mar 2019 10:52","34:36","2076","19-26","19,26","Radiant","BOOM ID","Jhocam, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","WarriorsGaming.Unity","Ohaiyo, ChYuaN, Felixciaoba, YamateH, Nikobaby"
"4590897816","312936","10810","30 Mar 2019 10:46","33:17","1997","34-13","34,13","Radiant","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Royal","June, ddc, 圣子华炼, 897, Flyby"
"4590844750","312925","10810","30 Mar 2019 10:28","50:26","3026","35-35","35,35","Dire","Tigers","Dendi, 1437, Velo, Xepher, DifferentHeaven","Team EVOS","Whitemon, Vlaicu, Aville, inYourdreaM, Facehugger"
"4590786636","312935","10810","30 Mar 2019 10:11","34:22","2062","40-19","40,19","Radiant","KEEN GAMING","old eLeVeN, old chicken, kaka, --, dark","Royal Never Give Up","old LaNm, ah fu , Setsu, Monet, Srf"
"4590726505","312949","10810","30 Mar 2019 10:00","38:52","2332","19-36","19,36","Dire","Neon Esports","Marc, MetaCL.SKADI, rApy-, `JL ♪ |-/, Mskiinfnty.PH2n","Fnatic","iceiceice, Jabz, MP, DJ, Abed"
"4590720092","312936","10810","30 Mar 2019 09:57","28:16","1696","24-7","24,7","Radiant","Royal","June, ddc, 圣子华炼, 897, Flyby","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"4590715868","312948","10810","30 Mar 2019 09:56","32:45","1965","31-10","31,10","Radiant","WarriorsGaming.Unity","Ohaiyo, ChYuaN, Felixciaoba, YamateH, Nikobaby","BOOM ID","Jhocam, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur"
"4590674317","312924","10810","30 Mar 2019 09:43","57:42","3462","30-34","30,34","Radiant","TNC Predator","Gabbi, TIMS, Armel, Eyyou, Kuku","Mineski","kpii, ninjaboogie, Moon, Ahjit, raging-_-potato"
"4590653038","312925","10810","30 Mar 2019 09:39","24:52","1492","18-9","18,9","Radiant","Tigers","Dendi, 1437, Velo, Xepher, DifferentHeaven","Team EVOS","Whitemon, Vlaicu, Aville, inYourdreaM, Facehugger"
"4590642552","312927","10810","30 Mar 2019 09:36","38:54","2334","25-28","25,28","Radiant","Vici Gaming","Ori, Paparazi, Yang, Dy, Fade","Newbee","Newbee.SanSheng, Moogy, Waixi, Sccc,"
"4590560958","312936","10810","30 Mar 2019 09:15","17:41","1061","6-18","6,18","Dire","Royal","June, ddc, 圣子华炼, 897, Flyby","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"4590551693","312935","10810","30 Mar 2019 09:13","33:53","2033","20-27","20,27","Dire","KEEN GAMING","old eLeVeN, old chicken, kaka, --, dark","Royal Never Give Up","old LaNm, ah fu , Setsu, Monet, Srf"
"4590521199","312920","10810","30 Mar 2019 09:01","35:42","2142","32-28","32,28","Dire","Team Sincere","2Lei, Magi, Chaos;, Fair, Yuki.66","EHOME","Ferrari_430, y`Maxine, END, XinQ, fattiger"
"4590442024","312927","10810","30 Mar 2019 08:39","32:12","1932","9-27","9,27","Dire","Newbee","Newbee.SanSheng, Moogy, Waixi, Sccc,","Vici Gaming","Ori, Paparazi, Yang, Dy, Fade"
"4590438858","312925","10810","30 Mar 2019 08:37","34:40","2080","31-13","31,13","Radiant","Team EVOS","Whitemon, Vlaicu, Aville, inYourdreaM, Facehugger","Tigers","Dendi, 1437, Velo, Xepher, DifferentHeaven"
"4590410103","312924","10810","30 Mar 2019 08:32","42:40","2560","16-47","16,47","Dire","Mineski","kpii, ninjaboogie, Moon, Ahjit, raging-_-potato","TNC Predator","Gabbi, TIMS, Armel, Eyyou, Kuku"
"4590375281","312920","10810","30 Mar 2019 08:25","17:48","1068","19-9","19,9","Radiant","EHOME","Ferrari_430, y`Maxine, END, XinQ, fattiger","Team Sincere","2Lei, Magi, Chaos;, Fair, Yuki.66"
"4590369789","312892","10810","30 Mar 2019 08:24","37:56","2276","32-24","32,24","Radiant","Neon Esports","Marc, MetaCL.SKADI, rApy-, `JL ♪ |-/, Mskiinfnty.PH2n","BOOM ID","Jhocam, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur"
"4590323072","312882","10810","30 Mar 2019 08:08","29:24","1764","26-19","26,19","Radiant","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Royal Never Give Up","old LaNm, ah fu , Setsu, Monet, Srf"
"4590242958","312885","10810","30 Mar 2019 07:43","33:12","1992","26-22","26,22","Dire","KEEN GAMING","old eLeVeN, old chicken, kaka, --, dark","Royal","June, ddc, 圣子华炼, 897, Flyby"
"4590185478","312880","10810","30 Mar 2019 07:25","28:45","1725","12-32","12,32","Dire","Team Sincere","2Lei, Magi, Chaos;, Fair, Yuki.66","Vici Gaming","Ori, Paparazi, Yang, Dy, Fade"
"4590169675","312892","10810","30 Mar 2019 07:28","26:25","1585","42-18","42,18","Radiant","Neon Esports","Marc, MetaCL.SKADI, rApy-, `JL ♪ |-/, Mskiinfnty.PH2n","BOOM ID","Jhocam, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur"
"4590124801","312881","10810","30 Mar 2019 07:11","19:24","1164","3-15","3,15","Dire","WarriorsGaming.Unity","Ohaiyo, ChYuaN, Felixciaoba, YamateH, Nikobaby","Fnatic","iceiceice, Jabz, MP, DJ, Abed"
"4590102954","312884","10810","30 Mar 2019 07:03","24:00","1440","12-36","12,36","Dire","Team EVOS","Whitemon, Vlaicu, Aville, inYourdreaM, Facehugger","TNC Predator","Gabbi, TIMS, Armel, Eyyou, Kuku"
